page_ark,edit_id,mark_id,file,Catalog,section,name,vintage,perprice,caseprice,bottle_type,type,wine_type,color,country,xy
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/b0b7e173-c5d6-4655-9508-eaa77ff7aa67,b0b7e173-c5d6-4655-9508-eaa77ff7aa67,UCD_Lehmann_0419,823,Sonoma Vineyards Wine Sampler,French Colombard,1972,2.69,29.05,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/fb9ca188-7b94-4c8f-93e7-822e20a8b75e,fb9ca188-7b94-4c8f-93e7-822e20a8b75e,UCD_Lehmann_0419,865,Sonoma Vineyards Wine Sampler,Petite Sirah,1971,2.99,32.2,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/de4637a8-f330-46db-a4d6-523d2ad58aeb,de4637a8-f330-46db-a4d6-523d2ad58aeb,UCD_Lehmann_0419,841,Sonoma Vineyards Wine Sampler,Sonoma Vineyards Pinot Noir,0,3.99,43.1,Standard,wine,Still,Red,,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/d6f03d51-9828-4241-815e-8ed31e875a34,d6f03d51-9828-4241-815e-8ed31e875a34,UCD_Lehmann_0419,847,Sonoma Vineyards Wine Sampler,Cabernet Sauvignon,0,3.99,43.1,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/0aa2243a-c523-47af-995f-635bba42db60,0aa2243a-c523-47af-995f-635bba42db60,UCD_Lehmann_0419,873,Sonoma Vineyards Wine Sampler-Pink Wines,Gernache Rose,1972,2.69,29.05,Standard,wine,Still,Rosé,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/295524ce-d7b0-47cf-bf85-c469358b499d,295524ce-d7b0-47cf-bf85-c469358b499d,UCD_Lehmann_0419,829,Sonoma Vineyards Wine Sampler-Red Wine,Gamay,1971,2.99,32.3,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/012c2c5d-6e1e-47e9-bc13-ce8ca501edb1,012c2c5d-6e1e-47e9-bc13-ce8ca501edb1,UCD_Lehmann_0419,858,Sonoma Vineyards Wine Sampler-Red Wines,Burgundy,1971,2.49,26.9,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/effedb76-dcb0-458e-875d-83e53cfadac7,effedb76-dcb0-458e-875d-83e53cfadac7,UCD_Lehmann_0419,833,Sonoma Vineyards Wine Sampler-Red Wines,Zinfandel,1971,2.69,29.05,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/034bdf8e-91bc-49f8-838c-5c1ad049792d,034bdf8e-91bc-49f8-838c-5c1ad049792d,UCD_Lehmann_0419,862,Sonoma Vineyards Wine Sampler-White Winers,Chablis,1972,2.49,26.9,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-1,00dd420b-02ee-4ead-aa01-c939f189542f/e4466c2f-ef06-4759-98d4-7c182be0b079/view/35733c23-5860-47ab-9f20-2ae16da38228,35733c23-5860-47ab-9f20-2ae16da38228,UCD_Lehmann_0419,812,Sonoma Vineyards Wine Sampler-White Wines,Chenin Blanc,1972,2.99,22.3,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
