file,page_ark,x,y
UCD_Lehmann_0002,d79w2m-000,3933,5899
UCD_Lehmann_0003,d79w2m-001,4000,6000
UCD_Lehmann_0004,d79w2m-002,4000,6000
UCD_Lehmann_0005,d79w2m-003,4000,6000
UCD_Lehmann_0006,d79w2m-004,4000,6000
UCD_Lehmann_0007,d79w2m-005,4000,6000
UCD_Lehmann_0008,d79w2m-006,4000,6000
UCD_Lehmann_0009,d79w2m-007,4000,6000
UCD_Lehmann_0010,d79w2m-008,4000,6000
UCD_Lehmann_0011,d79w2m-009,4000,6000
UCD_Lehmann_0012,d79w2m-010,4000,6000
UCD_Lehmann_0013,d79w2m-011,4000,6000
UCD_Lehmann_0014,d79w2m-012,4000,6000
UCD_Lehmann_0015,d79w2m-013,4000,6000
UCD_Lehmann_0016,d79w2m-014,4000,6000
UCD_Lehmann_0017,d79w2m-015,4000,6000
UCD_Lehmann_0018,d79w2m-016,4000,6000
UCD_Lehmann_0019,d79w2m-017,4000,6000
UCD_Lehmann_0020,d79w2m-018,4000,6000
UCD_Lehmann_0021,d79w2m-019,4000,6000
UCD_Lehmann_0022,d79w2m-020,3922,5883
UCD_Lehmann_0023,d79w2m-021,4000,6000
UCD_Lehmann_0024,d79w2m-022,4000,6000
UCD_Lehmann_0025,d79w2m-023,4000,6000
UCD_Lehmann_0026,d79w2m-024,4000,6000
UCD_Lehmann_0027,d79w2m-025,4000,6000
UCD_Lehmann_0028,d79w2m-026,4000,6000
UCD_Lehmann_0029,d79w2m-027,4000,6000
UCD_Lehmann_0030,d79w2m-028,4000,6000
UCD_Lehmann_0031,d79w2m-029,4000,6000
UCD_Lehmann_0032,d79w2m-030,4000,6000
UCD_Lehmann_0033,d79w2m-031,4000,6000
UCD_Lehmann_0034,d79w2m-032,4000,6000
UCD_Lehmann_0035,d79w2m-033,4000,6000
UCD_Lehmann_0036,d79w2m-034,4000,6000
UCD_Lehmann_0037,d79w2m-035,4000,6000
UCD_Lehmann_0038,d79w2m-036,4000,6000
UCD_Lehmann_0039,d79w2m-037,4000,6000
UCD_Lehmann_0040,d79w2m-038,4000,6000
UCD_Lehmann_0041,d79w2m-039,4000,6000
UCD_Lehmann_0043,d7ps3c-000,4000,6000
UCD_Lehmann_0044,d7ps3c-001,4000,6000
UCD_Lehmann_0045,d7ps3c-002,4000,6000
UCD_Lehmann_0046,d7ps3c-003,4000,6000
UCD_Lehmann_0047,d7ps3c-004,4000,6000
UCD_Lehmann_0048,d7ps3c-005,4000,6000
UCD_Lehmann_0049,d7ps3c-006,4000,6000
UCD_Lehmann_0050,d7ps3c-007,4000,6000
UCD_Lehmann_0051,d7ps3c-008,4000,6000
UCD_Lehmann_0052,d7ps3c-009,4000,6000
UCD_Lehmann_0053,d7ps3c-010,3797,5696
UCD_Lehmann_0054,d7ps3c-011,4000,6000
UCD_Lehmann_0055,d7ps3c-012,4000,6000
UCD_Lehmann_0056,d7ps3c-013,4000,6000
UCD_Lehmann_0057,d7ps3c-014,4000,6000
UCD_Lehmann_0058,d7ps3c-015,4000,6000
UCD_Lehmann_0059,d7ps3c-016,4000,6000
UCD_Lehmann_0060,d7ps3c-017,4000,6000
UCD_Lehmann_0061,d7ps3c-018,4000,6000
UCD_Lehmann_0062,d7ps3c-019,4000,6000
UCD_Lehmann_0063,d7ps3c-020,4000,6000
UCD_Lehmann_0064,d7ps3c-021,4000,6000
UCD_Lehmann_0065,d7ps3c-022,4000,6000
UCD_Lehmann_0066,d7ps3c-023,4000,6000
UCD_Lehmann_0067,d7ps3c-024,4000,6000
UCD_Lehmann_0068,d7ps3c-025,4000,6000
UCD_Lehmann_0069,d7ps3c-026,4000,6000
UCD_Lehmann_0070,d7ps3c-027,4000,6000
UCD_Lehmann_0072,d72013-000,4000,6000
UCD_Lehmann_0073,d72013-001,4000,6000
UCD_Lehmann_0074,d72013-002,4000,6000
UCD_Lehmann_0075,d72013-003,4000,6000
UCD_Lehmann_0076,d72013-004,4000,6000
UCD_Lehmann_0077,d72013-005,4000,6000
UCD_Lehmann_0078,d72013-006,4000,6000
UCD_Lehmann_0079,d72013-007,4000,6000
UCD_Lehmann_0080,d72013-008,4000,6000
UCD_Lehmann_0081,d72013-009,4000,6000
UCD_Lehmann_0082,d72013-010,4000,6000
UCD_Lehmann_0083,d72013-011,4000,6000
UCD_Lehmann_0084,d72013-012,4000,6000
UCD_Lehmann_0085,d72013-013,4000,6000
UCD_Lehmann_0086,d72013-014,4000,6000
UCD_Lehmann_0087,d72013-015,4000,6000
UCD_Lehmann_0088,d72013-016,4000,6000
UCD_Lehmann_0089,d72013-017,4000,6000
UCD_Lehmann_0090,d72013-018,4000,6000
UCD_Lehmann_0091,d72013-019,4000,6000
UCD_Lehmann_0092,d72013-020,4000,6000
UCD_Lehmann_0093,d72013-021,4000,6000
UCD_Lehmann_0095,d79g60-000,4000,6000
UCD_Lehmann_0096,d79g60-001,4000,6000
UCD_Lehmann_0097,d79g60-002,4000,6000
UCD_Lehmann_0098,d79g60-003,4000,6000
UCD_Lehmann_0099,d79g60-004,4000,6000
UCD_Lehmann_0100,d79g60-005,4000,6000
UCD_Lehmann_0101,d79g60-006,4000,6000
UCD_Lehmann_0102,d79g60-007,4000,6000
UCD_Lehmann_0103,d79g60-008,4000,6000
UCD_Lehmann_0104,d79g60-009,4000,6000
UCD_Lehmann_0105,d79g60-010,4000,6000
UCD_Lehmann_0106,d79g60-011,4000,6000
UCD_Lehmann_0108,d7cc7z-000,3956,5999
UCD_Lehmann_0109,d7cc7z-001,3883,5520
UCD_Lehmann_0110,d7cc7z-002,3873,5809
UCD_Lehmann_0112,d70p4h-000,4000,6000
UCD_Lehmann_0113,d70p4h-001,4000,6000
UCD_Lehmann_0114,d70p4h-002,4000,6000
UCD_Lehmann_0116,d7gp4v-000,4000,6000
UCD_Lehmann_0117,d7gp4v-001,4000,6000
UCD_Lehmann_0118,d7gp4v-002,4000,6000
UCD_Lehmann_0119,d7gp4v-003,4000,6000
UCD_Lehmann_0120,d7gp4v-004,4000,6000
UCD_Lehmann_0121,d7gp4v-005,4000,6000
UCD_Lehmann_0122,d7gp4v-006,4000,6000
UCD_Lehmann_0123,d7gp4v-007,4000,6000
UCD_Lehmann_0124,d7gp4v-008,4000,6000
UCD_Lehmann_0125,d7gp4v-009,4000,6000
UCD_Lehmann_0126,d7gp4v-010,4000,6000
UCD_Lehmann_0127,d7gp4v-011,4000,6000
UCD_Lehmann_0128,d7gp4v-012,4000,6000
UCD_Lehmann_0129,d7gp4v-013,4000,6000
UCD_Lehmann_0130,d7gp4v-014,4000,6000
UCD_Lehmann_0131,d7gp4v-015,4000,6000
UCD_Lehmann_0132,d7gp4v-016,4000,6000
UCD_Lehmann_0133,d7gp4v-017,4000,6000
UCD_Lehmann_0134,d7gp4v-018,4000,6000
UCD_Lehmann_0135,d7gp4v-019,4000,6000
UCD_Lehmann_0136,d7gp4v-020,4000,6000
UCD_Lehmann_0137,d7gp4v-021,4000,6000
UCD_Lehmann_0138,d7gp4v-022,4000,6000
UCD_Lehmann_0139,d7gp4v-023,4000,6000
UCD_Lehmann_0140,d7gp4v-024,4000,6000
UCD_Lehmann_0141,d7gp4v-025,4000,6000
UCD_Lehmann_0142,d7gp4v-026,4000,6000
UCD_Lehmann_0143,d7gp4v-027,4000,6000
UCD_Lehmann_0144,d7gp4v-028,4000,6000
UCD_Lehmann_0145,d7gp4v-029,3814,5721
UCD_Lehmann_0146,d7gp4v-030,4000,6000
UCD_Lehmann_0147,d7gp4v-031,4000,6000
UCD_Lehmann_0149,d7m012-000,4000,6000
UCD_Lehmann_0150,d7m012-001,4000,6000
UCD_Lehmann_0151,d7m012-002,4000,6000
UCD_Lehmann_0152,d7m012-003,4000,6000
UCD_Lehmann_0153,d7m012-004,4000,6000
UCD_Lehmann_0154,d7m012-005,4000,6000
UCD_Lehmann_0155,d7m012-006,4000,6000
UCD_Lehmann_0156,d7m012-007,4000,6000
UCD_Lehmann_0157,d7m012-008,4000,6000
UCD_Lehmann_0158,d7m012-009,4000,6000
UCD_Lehmann_0159,d7m012-010,4000,6000
UCD_Lehmann_0160,d7m012-011,4000,6000
UCD_Lehmann_0161,d7m012-012,4000,6000
UCD_Lehmann_0162,d7m012-013,4000,6000
UCD_Lehmann_0163,d7m012-014,4000,6000
UCD_Lehmann_0164,d7m012-015,4000,6000
UCD_Lehmann_0165,d7m012-016,4000,6000
UCD_Lehmann_0166,d7m012-017,4000,6000
UCD_Lehmann_0167,d7m012-018,4000,6000
UCD_Lehmann_0168,d7m012-019,4000,6000
UCD_Lehmann_0169,d7m012-020,4000,6000
UCD_Lehmann_0170,d7m012-021,4000,6000
UCD_Lehmann_0171,d7m012-022,4000,6000
UCD_Lehmann_0172,d7m012-023,4000,6000
UCD_Lehmann_0173,d7m012-024,4000,6000
UCD_Lehmann_0174,d7m012-025,4000,6000
UCD_Lehmann_0175,d7m012-026,4000,6000
UCD_Lehmann_0176,d7m012-027,4000,6000
UCD_Lehmann_0177,d7m012-028,4000,6000
UCD_Lehmann_0178,d7m012-029,4000,6000
UCD_Lehmann_0179,d7m012-030,4000,6000
UCD_Lehmann_0180,d7m012-031,4000,6000
UCD_Lehmann_0181,d7m012-032,4000,6000
UCD_Lehmann_0182,d7m012-033,4000,6000
UCD_Lehmann_0183,d7m012-034,4000,6000
UCD_Lehmann_0184,d7m012-035,4000,6000
UCD_Lehmann_0186,d7z30t-000,4000,6000
UCD_Lehmann_0187,d7z30t-001,4000,6000
UCD_Lehmann_0188,d7z30t-002,4000,6000
