rotation,r0,r1,same
-2.4,460,614,301
-2.2,652,718,462
-2.1,801,788,593
-2.0,967,986,531
-1.8,418,434,370
-1.7,1271,1301,1002
-1.6,2062,2085,1590
-1.5,1942,1900,1382
-1.4,6143,6042,5010
-1.3,7176,6804,5350
-1.2,7970,7843,6495
-1.1,11933,11671,8685
-1.0,17522,17316,14180
-0.9,17449,17594,13475
-0.8,20185,19375,13939
-0.7,28431,28095,21964
-0.6,32812,32527,25330
-0.5,34467,34166,26408
-0.4,58275,58188,46867
-0.3,69818,68513,56930
-0.2,59342,58858,50188
-0.1,81274,80260,66112
0.0,62455,62554,53243
0.1,55147,55285,45527
0.2,63067,61736,50994
0.3,68294,67179,55949
0.4,54255,51597,42192
0.5,41257,39589,32676
0.6,55379,53562,43541
0.7,43619,42770,35612
0.8,31337,30514,24934
0.9,24141,23746,18948
1.0,15806,15949,13658
1.1,13153,12512,10717
1.2,14026,13192,10524
1.3,8497,8110,6935
1.4,4624,4607,3713
1.5,6817,6788,5603
1.6,3566,3553,2739
1.7,3055,2948,1913
1.8,2071,2013,1754
1.9,492,486,387
2.0,2375,2056,1565
2.1,1816,1789,1211
2.3,568,431,330
