file,ark,rotation,rad,dx,dy,x,y,cx,cy,unrotated,rotated
UCD_Lehmann_2521,d7dk5k-012,359.72,6.278298385274,-15,10,4030,-6020,2015,-3010,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-012/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-012/svc:iiif/full/full/359.72/default.jpg
UCD_Lehmann_2527,d7dk5k-018,0.54,0.00942477796076938,-29,19,4058,-6038,2029,-3019,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-018/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-018/svc:iiif/full/full/0.54/default.jpg
UCD_Lehmann_2519,d7dk5k-010,359.85,6.2805673133016,-8,6,4016,-6012,2008,-3006,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-010/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-010/svc:iiif/full/full/359.85/default.jpg
UCD_Lehmann_2512,d7dk5k-003,359.62,6.27655305602201,-20,14,4040,-6028,2020,-3014,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-003/svc:iiif/full/full/359.62/default.jpg
UCD_Lehmann_2531,d7dk5k-022,0.04,0.000698131700797732,-3,2,4006,-6004,2003,-3002,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-022/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-022/svc:iiif/full/full/0.04/default.jpg
UCD_Lehmann_2515,d7dk5k-006,0.32,0.00558505360638185,-17,12,4034,-6024,2017,-3012,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-006/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7dk5k/media/images/d7dk5k-006/svc:iiif/full/full/0.32/default.jpg
UCD_Lehmann_2484,d7jc7h-008,0.14,0.00244346095279206,-8,5,4016,-6010,2008,-3005,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7jc7h/media/images/d7jc7h-008/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7jc7h/media/images/d7jc7h-008/svc:iiif/full/full/0.14/default.jpg
UCD_Lehmann_2001,d7rp5q-003,0.08,0.00139626340159546,-5,3,4010,-6006,2005,-3003,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7rp5q/media/images/d7rp5q-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7rp5q/media/images/d7rp5q-003/svc:iiif/full/full/0.08/default.jpg
UCD_Lehmann_1999,d7rp5q-001,359.75,6.2788219840496,-14,9,4028,-6018,2014,-3009,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7rp5q/media/images/d7rp5q-001/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7rp5q/media/images/d7rp5q-001/svc:iiif/full/full/359.75/default.jpg
UCD_Lehmann_2000,d7rp5q-002,359.38,6.27236426581722,-33,22,4066,-6044,2033,-3022,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7rp5q/media/images/d7rp5q-002/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7rp5q/media/images/d7rp5q-002/svc:iiif/full/full/359.38/default.jpg
UCD_Lehmann_2552,d7530p-001,0.14,0.00244346095279206,-8,5,4016,-6010,2008,-3005,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7530p/media/images/d7530p-001/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7530p/media/images/d7530p-001/svc:iiif/full/full/0.14/default.jpg
UCD_Lehmann_2556,d7530p-005,0.39,0.00680678408277788,-21,14,4042,-6028,2021,-3014,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7530p/media/images/d7530p-005/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7530p/media/images/d7530p-005/svc:iiif/full/full/0.39/default.jpg
UCD_Lehmann_2554,d7530p-003,359.65,6.27707665479761,-19,13,4038,-6026,2019,-3013,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7530p/media/images/d7530p-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7530p/media/images/d7530p-003/svc:iiif/full/full/359.65/default.jpg
UCD_Lehmann_3143,d79p49-010,359.73,6.2784729181992,-15,10,4030,-6020,2015,-3010,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-010/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-010/svc:iiif/full/full/359.73/default.jpg
UCD_Lehmann_3134,d79p49-001,0.04,0.000698131700797732,-3,2,4006,-6004,2003,-3002,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-001/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-001/svc:iiif/full/full/0.04/default.jpg
UCD_Lehmann_3136,d79p49-003,1.28,0.0223402144255274,-67,44,4134,-6088,2067,-3044,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-003/svc:iiif/full/full/1.28/default.jpg
UCD_Lehmann_3137,d79p49-004,359.85,6.2805673133016,-8,6,4016,-6012,2008,-3006,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-004/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-004/svc:iiif/full/full/359.85/default.jpg
UCD_Lehmann_3148,d79p49-015,1.34,0.023387411976724,-70,46,4140,-6092,2070,-3046,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-015/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-015/svc:iiif/full/full/1.34/default.jpg
UCD_Lehmann_3145,d79p49-012,359.92,6.28178904377799,-5,3,4010,-6006,2005,-3003,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-012/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-012/svc:iiif/full/full/359.92/default.jpg
UCD_Lehmann_3135,d79p49-002,359.85,6.2805673133016,-8,6,4016,-6012,2008,-3006,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-002/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-002/svc:iiif/full/full/359.85/default.jpg
UCD_Lehmann_3146,d79p49-013,1.74,0.0303687289847013,-91,60,4182,-6120,2091,-3060,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-013/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-013/svc:iiif/full/full/1.74/default.jpg
UCD_Lehmann_3147,d79p49-014,359.47,6.27393506214402,-28,19,4056,-6038,2028,-3019,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-014/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-014/svc:iiif/full/full/359.47/default.jpg
UCD_Lehmann_3141,d79p49-008,0.19,0.00331612557878923,-10,7,4020,-6014,2010,-3007,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-008/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-008/svc:iiif/full/full/0.19/default.jpg
UCD_Lehmann_3138,d79p49-005,0.5,0.00872664625997165,-27,18,4054,-6036,2027,-3018,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-005/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79p49/media/images/d79p49-005/svc:iiif/full/full/0.5/default.jpg
UCD_Lehmann_0099,d79g60-004,0.25,0.00436332312998582,-14,9,4028,-6018,2014,-3009,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79g60/media/images/d79g60-004/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79g60/media/images/d79g60-004/svc:iiif/full/full/0.25/default.jpg
UCD_Lehmann_0096,d79g60-001,359.45,6.27358599629362,-29,20,4058,-6040,2029,-3020,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79g60/media/images/d79g60-001/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d79g60/media/images/d79g60-001/svc:iiif/full/full/359.45/default.jpg
UCD_Lehmann_3811,d7k30d-003,359.47,6.27393506214402,-28,19,4056,-6038,2028,-3019,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7k30d/media/images/d7k30d-003/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7k30d/media/images/d7k30d-003/svc:iiif/full/full/359.47/default.jpg
UCD_Lehmann_3809,d7k30d-001,0.78,0.0136135681655558,-41,27,4082,-6054,2041,-3027,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7k30d/media/images/d7k30d-001/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7k30d/media/images/d7k30d-001/svc:iiif/full/full/0.78/default.jpg
UCD_Lehmann_3810,d7k30d-002,359.62,6.27655305602201,-20,14,4040,-6028,2020,-3014,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7k30d/media/images/d7k30d-002/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7k30d/media/images/d7k30d-002/svc:iiif/full/full/359.62/default.jpg
UCD_Lehmann_0514,d7101s-023,1.22,0.0212930168743308,-64,42,4128,-6084,2064,-3042,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-023/svc:iiif/full/full/0/default.jpg,https://sandbox.dams.library.ucdavis.edu/fcrepo/rest/collection/sherry-lehmann/catalogs/d7101s/media/images/d7101s-023/svc:iiif/full/full/1.22/default.jpg
