rotation,s80,s85,s90,s95
-2.40,0.27,0.25,0.14,0.00
-2.20,0.22,0.21,0.18,0.13
-2.10,0.11,0.10,0.10,0.09
-2.00,0.19,0.18,0.17,0.16
-1.80,0.10,0.09,0.07,0.07
-1.70,0.20,0.20,0.20,0.17
-1.60,0.22,0.19,0.17,0.17
-1.50,0.20,0.20,0.21,0.21
-1.40,0.08,0.08,0.07,0.05
-1.30,0.13,0.12,0.11,0.11
-1.20,0.15,0.14,0.14,0.15
-1.10,0.19,0.18,0.16,0.15
-1.00,0.13,0.13,0.12,0.12
-0.90,0.22,0.21,0.20,0.21
-0.80,0.26,0.24,0.23,0.23
-0.70,0.18,0.16,0.15,0.15
-0.60,0.25,0.23,0.22,0.21
-0.50,0.20,0.18,0.17,0.17
-0.40,0.19,0.18,0.17,0.16
-0.30,0.25,0.23,0.22,0.22
-0.20,0.17,0.16,0.15,0.14
-0.10,0.21,0.20,0.19,0.18
0.00,0.17,0.16,0.15,0.14
0.10,0.17,0.16,0.15,0.14
0.20,0.17,0.16,0.15,0.14
0.30,0.19,0.17,0.16,0.15
0.40,0.19,0.17,0.16,0.16
0.50,0.17,0.16,0.15,0.14
0.60,0.17,0.15,0.15,0.14
0.70,0.15,0.14,0.14,0.13
0.80,0.19,0.18,0.17,0.17
0.90,0.20,0.19,0.19,0.19
1.00,0.16,0.15,0.13,0.13
1.10,0.11,0.10,0.09,0.06
1.20,0.16,0.14,0.13,0.11
1.30,0.13,0.12,0.10,0.10
1.40,0.15,0.14,0.13,0.11
1.50,0.14,0.12,0.10,0.08
1.60,0.23,0.22,0.22,0.18
1.70,0.48,0.45,0.40,0.26
1.80,0.10,0.09,0.09,0.09
1.90,0.16,0.11,0.07,0.01
2.00,0.16,0.16,0.14,0.13
2.10,0.12,0.10,0.10,0.13
2.30,0.10,0.10,0.08,0.07
