file,catalog_id,ark,page,page_id
UCD_Lehman_540,667d4949-b167-438e-b1b4-7e5a3e525bcc,,0,84276afe-d33d-4862-9da0-b3d7ff3e7809
UCD_Lehmann_0002,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,0,e738e52e-33dd-4f52-a1be-ac2ef49391c6
UCD_Lehmann_0003,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,1,91b5bf98-3684-4378-ba02-80a9bef4ef06
UCD_Lehmann_0004,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,2,c37cb043-00d7-45d9-aee6-2233e992f844
UCD_Lehmann_0005,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,3,5a6e007b-facd-4b9b-993a-42cb9a4867b3
UCD_Lehmann_0006,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,4,fb11fc5f-f7a2-42c3-8300-455d38c5c4b0
UCD_Lehmann_0007,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,5,bb521bfb-d417-4b8b-a37f-90d87e734a93
UCD_Lehmann_0008,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,6,b07a2a12-85e9-4986-88c3-b750916ace91
UCD_Lehmann_0009,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,7,c06a97e1-ef3f-42e0-a4b4-81b5c2974f25
UCD_Lehmann_0010,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,8,bdf09e74-ea8b-4993-a98c-719c9a1f2eee
UCD_Lehmann_0011,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,9,407cba0a-5363-43ff-85be-001510e1b61b
UCD_Lehmann_0012,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,10,ecf8ef08-6476-4781-a987-3cd2594ef334
UCD_Lehmann_0013,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,11,d736f446-93e8-4f5b-8bee-8a10b4126589
UCD_Lehmann_0014,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,12,8a61951e-25bb-48d8-9ca3-e846835c61dd
UCD_Lehmann_0015,affdd39b-2e6b-4f1a-b605-6dcdd522842d,ark:/87287/d79w2m,13,debed28b-d280-4b7a-897b-4062f26e51f7
