"angle","angle_conf","height","width","binary.threshold","pix.threshold","pix.newValue","file_id"
-0.703125,6.56431198120117,6000,4000,150,NA,NA,"UCD_Lehmann_0008"
-0.609375,6.86187648773193,6000,4000,150,NA,NA,"UCD_Lehmann_0011"
-0.921875,7.8830361366272,6000,4000,150,NA,NA,"UCD_Lehmann_0027"
-0.796875,4.36396265029907,6000,4000,150,NA,NA,"UCD_Lehmann_0069"
0.6875,6.2673864364624,6000,4000,150,NA,NA,"UCD_Lehmann_0190"
0.625,3.89039826393127,6000,4000,150,NA,NA,"UCD_Lehmann_0208"
0.515625,4.62582015991211,6000,4000,150,NA,NA,"UCD_Lehmann_0237"
-0.84375,2.45718789100647,6000,4000,150,NA,NA,"UCD_Lehmann_0260"
-0.5,4.85918140411377,4000,6000,150,NA,NA,"UCD_Lehmann_0267"
0.40625,7.40583229064941,6000,4000,150,NA,NA,"UCD_Lehmann_0321"
-0.96875,4.61787939071655,6000,4000,150,NA,NA,"UCD_Lehmann_0407"
1.078125,5.42741632461548,6000,4000,150,NA,NA,"UCD_Lehmann_0455"
-0.484375,4.54061889648438,6000,4000,150,NA,NA,"UCD_Lehmann_0503"
-0.984375,4.77291107177734,6000,4000,150,NA,NA,"UCD_Lehmann_0550"
-0.921875,6.04353046417236,6000,4000,150,NA,NA,"UCD_Lehmann_0551"
-0.9375,3.81130290031433,6000,4000,150,NA,NA,"UCD_Lehmann_0558"
1.171875,5.28766965866089,6000,4000,150,NA,NA,"UCD_Lehmann_0627"
-0.5,3.36397790908813,6000,4000,150,NA,NA,"UCD_Lehmann_0628"
1,2.66302084922791,6000,4000,150,NA,NA,"UCD_Lehmann_0629"
-1.34375,8.37137603759766,6000,4000,150,NA,NA,"UCD_Lehmann_0644"
0.703125,4.76953125,6000,4000,150,NA,NA,"UCD_Lehmann_0800"
1.265625,5.064621925354,6000,4000,150,NA,NA,"UCD_Lehmann_0869"
-0.234375,3.50442266464233,6000,4000,150,NA,NA,"UCD_Lehmann_0893"
0.75,1.47631573677063,6000,4000,150,NA,NA,"UCD_Lehmann_1048"
0.671875,2.73433971405029,6000,4000,150,NA,NA,"UCD_Lehmann_1106"
-0.25,2.83866858482361,6000,4000,150,NA,NA,"UCD_Lehmann_1174"
0.109375,8.01448345184326,6000,4000,150,NA,NA,"UCD_Lehmann_1198"
-0.1875,3.37616038322449,6000,4000,150,NA,NA,"UCD_Lehmann_1286"
-0.1875,2.99464011192322,6000,4000,150,NA,NA,"UCD_Lehmann_1316"
-0.8125,3.34484314918518,6000,4000,150,NA,NA,"UCD_Lehmann_1436"
0.21875,5.86725568771362,6000,4000,150,NA,NA,"UCD_Lehmann_1447"
0.625,4.78754758834839,6000,4000,150,NA,NA,"UCD_Lehmann_1470"
