"","file_id","table","cluster","row","text.true","truth_entered_by"
"1","UCD_Lehmann_0008",1,1,1,"39.75","David"
"2","UCD_Lehmann_0008",1,1,2,"39.75","David"
"3","UCD_Lehmann_0008",1,1,3,"40.75","David"
"4","UCD_Lehmann_0008",1,1,4,"43.25","David"
"5","UCD_Lehmann_0008",1,1,5,"43.25","David"
"6","UCD_Lehmann_0008",1,1,6,"43.25","David"
"7","UCD_Lehmann_0008",1,1,7,"44.75","David"
"8","UCD_Lehmann_0008",1,1,8,"47.75","David"
"9","UCD_Lehmann_0008",1,1,9,"48.50","David"
"10","UCD_Lehmann_0008",1,1,10,"55.75","David"
"11","UCD_Lehmann_0008",1,1,11,"69.75","David"
"12","UCD_Lehmann_0008",1,1,12,"99.50","David"
"13","UCD_Lehmann_0008",1,1,13,"99.50","David"
"14","UCD_Lehmann_0008",1,1,14,"99.50","David"
"15","UCD_Lehmann_0008",1,1,15,"99.50","David"
"16","UCD_Lehmann_0008",1,1,16,"109.00","David"
"17","UCD_Lehmann_0008",1,1,17,"109.00","David"
"18","UCD_Lehmann_0008",1,1,18,"118.00","David"
"19","UCD_Lehmann_0008",1,1,19,"122.00","David"
"20","UCD_Lehmann_0008",2,2,1,"35.75","David"
"21","UCD_Lehmann_0008",2,2,2,"35.75","David"
"22","UCD_Lehmann_0008",2,2,3,"36.50","David"
"23","UCD_Lehmann_0008",2,2,4,"37.75","David"
"24","UCD_Lehmann_0008",2,2,5,"37.75","David"
"25","UCD_Lehmann_0008",2,2,6,"37.75","David"
"26","UCD_Lehmann_0008",2,2,7,"--","David"
"27","UCD_Lehmann_0008",2,2,8,"43.50","David"
"28","UCD_Lehmann_0008",2,2,9,"41.75","David"
"29","UCD_Lehmann_0008",2,2,10,"49.75","David"
"30","UCD_Lehmann_0008",2,2,11,"61.50","David"
"31","UCD_Lehmann_0008",2,2,12,"84.50","David"
"32","UCD_Lehmann_0008",2,2,13,"88.50","David"
"33","UCD_Lehmann_0008",2,2,14,"84.50","David"
"34","UCD_Lehmann_0008",2,2,15,"79.50","David"
"35","UCD_Lehmann_0008",2,2,16,"79.50","David"
"36","UCD_Lehmann_0008",2,2,17,"84.50","David"
"37","UCD_Lehmann_0008",2,2,18,"106.00","David"
"38","UCD_Lehmann_0008",2,2,19,"108.00","David"
"39","UCD_Lehmann_0011",1,1,1,"4.49","Jane"
"40","UCD_Lehmann_0011",1,1,2,"4.49","Jane"
"41","UCD_Lehmann_0011",1,1,3,"4.49","Jane"
"42","UCD_Lehmann_0011",1,1,4,"4.79","Jane"
"43","UCD_Lehmann_0011",1,1,5,"5.09","Jane"
"44","UCD_Lehmann_0011",1,1,6,"5.49","Jane"
"45","UCD_Lehmann_0011",1,1,7,"5.49","Jane"
"46","UCD_Lehmann_0011",1,1,8,"5.99","Jane"
"47","UCD_Lehmann_0011",1,1,9,"5.99","Jane"
"48","UCD_Lehmann_0011",1,2,1,"48.50","Jane"
"49","UCD_Lehmann_0011",1,2,2,"48.50","Jane"
"50","UCD_Lehmann_0011",1,2,3,"48.50","Jane"
"51","UCD_Lehmann_0011",1,2,4,"51.75","Jane"
"52","UCD_Lehmann_0011",1,2,5,"55.00","Jane"
"53","UCD_Lehmann_0011",1,2,6,"59.30","Jane"
"54","UCD_Lehmann_0011",1,2,7,"59.30","Jane"
"55","UCD_Lehmann_0011",1,2,8,"64.70","Jane"
"56","UCD_Lehmann_0011",1,2,9,"64.70","Jane"
