"text","confidence","name_id","word_id"
"CHATEAU",85.6968688964844,"0008_1_1","0008_1_1 1"
"LEOVILLE",58.970775604248,"0008_1_1","0008_1_1 2"
"LASCASES",39.4826164245605,"0008_1_1","0008_1_1 3"
"(St.",90.6145248413086,"0008_1_1","0008_1_1 4"
"Julien)",44.0586776733398,"0008_1_1","0008_1_1 5"
"o.oo",0,"0008_1_1","0008_1_1 6"
"CZ",10.765007019043,"0008_1_1","0008_1_1 7"
"ann",27.9957809448242,"0008_1_1","0008_1_1 8"
"vrs",30.0397796630859,"0008_1_1","0008_1_1 9"
"ervey",26.2429656982422,"0008_1_1","0008_1_1 10"
"TA",72.4372177124023,"0008_1_1","0008_1_1 11"
"ATI",33.212646484375,"0008_1_1","0008_1_1 12"
"AIS",0,"0008_1_1","0008_1_1 13"
"TY",0,"0008_1_1","0008_1_1 14"
"IR",7.7578125,"0008_1_1","0008_1_1 15"
"dle",30.0353088378906,"0008_1_1","0008_1_1 16"
"Ni",0,"0008_1_1","0008_1_1 17"
"rawrz",0,"0008_1_1","0008_1_1 18"
"Yam",0,"0008_1_1","0008_1_1 19"
"il",1.38237762451172,"0008_1_1","0008_1_1 20"
"nied",20.7829895019531,"0008_1_1","0008_1_1 21"
"YY",39.7054481506348,"0008_1_1","0008_1_1 22"
"et",11.7051010131836,"0008_1_1","0008_1_1 23"
"Ce",25.7931823730469,"0008_1_1","0008_1_1 24"
"Ra",23.4949340820312,"0008_1_1","0008_1_1 25"
"eA",10.180419921875,"0008_1_1","0008_1_1 26"
"i",27.6790313720703,"0008_1_1","0008_1_1 27"
"AE",29.1320877075195,"0008_1_1","0008_1_1 28"
"CHATEAU",41.8010406494141,"0008_1_2","0008_1_2 1"
"LYNCH",91.3191986083984,"0008_1_2","0008_1_2 2"
"BAGES",80.8795013427734,"0008_1_2","0008_1_2 3"
"(Paulllaec)",37.4486923217773,"0008_1_2","0008_1_2 4"
".....",59.0042343139648,"0008_1_2","0008_1_2 5"
"......",37.1772003173828,"0008_1_2","0008_1_2 6"
"0",0,"0008_1_2","0008_1_2 7"
"00...",37.602424621582,"0008_1_2","0008_1_2 8"
"on",22.6754837036133,"0008_1_2","0008_1_2 9"
"AZD",76.8170471191406,"0008_1_2","0008_1_2 10"
"CHATEAU",96.2161712646484,"0008_1_3","0008_1_3 1"
"PICHON",93.1242446899414,"0008_1_3","0008_1_3 2"
"LONGUEVILLE",90.4477920532227,"0008_1_3","0008_1_3 3"
"LALANDE",90.9670944213867,"0008_1_3","0008_1_3 4"
"(Paunillne)",26.8667831420898,"0008_1_3","0008_1_3 5"
"..........",44.7260894775391,"0008_1_3","0008_1_3 6"
"....",2.50629425048828,"0008_1_3","0008_1_3 7"
".",46.898193359375,"0008_1_3","0008_1_3 8"
"A320",28.9139633178711,"0008_1_3","0008_1_3 9"
"CHATEAU",33.0939407348633,"0008_1_4","0008_1_4 1"
"BEYCHEVELLE",71.9974060058594,"0008_1_4","0008_1_4 2"
"18t,",29.5474166870117,"0008_1_4","0008_1_4 3"
"Jullien).",32.0414581298828,"0008_1_4","0008_1_4 4"
"....",32.0414581298828,"0008_1_4","0008_1_4 5"
"...",22.4797744750977,"0008_1_4","0008_1_4 6"
"cei.",15.8149337768555,"0008_1_4","0008_1_4 7"
"0.",7.86446380615234,"0008_1_4","0008_1_4 8"
"0",43.1042175292969,"0008_1_4","0008_1_4 9"
"7",40.7757720947266,"0008_1_4","0008_1_4 10"
"Aon",27.5775451660156,"0008_1_4","0008_1_4 11"
"CHATEAU",48.5266342163086,"0008_1_5","0008_1_5 1"
"COS",90.6078186035156,"0008_1_5","0008_1_5 2"
"D'ESTOURNEL",72.4675903320312,"0008_1_5","0008_1_5 3"
"(St.",66.8147506713867,"0008_1_5","0008_1_5 4"
"Estephe)",40.4951629638672,"0008_1_5","0008_1_5 5"
".............",18.2783508300781,"0008_1_5","0008_1_5 6"
"........",19.5412063598633,"0008_1_5","0008_1_5 7"
"=",62.5783081054688,"0008_1_5","0008_1_5 8"
"A330",0,"0008_1_5","0008_1_5 9"
":",53.5519561767578,"0008_1_6","0008_1_6 1"
"CHATEAU",93.2383728027344,"0008_1_6","0008_1_6 2"
"LASCOMBES",89.5121841430664,"0008_1_6","0008_1_6 3"
"(Margaux)",77.1781463623047,"0008_1_6","0008_1_6 4"
"....",0,"0008_1_6","0008_1_6 5"
"5",12.5449523925781,"0008_1_6","0008_1_6 6"
"coli",20.1592788696289,"0008_1_6","0008_1_6 7"
"anti",0,"0008_1_6","0008_1_6 8"
"AB)",9.01329040527344,"0008_1_6","0008_1_6 9"
"CHATEAU",92.0878677368164,"0008_1_7","0008_1_7 1"
"CLOS",92.0210189819336,"0008_1_7","0008_1_7 2"
"FOURTET",92.0131530761719,"0008_1_7","0008_1_7 3"
"(St.",96.7784576416016,"0008_1_7","0008_1_7 4"
"Emilion)",95.9449920654297,"0008_1_7","0008_1_7 5"
"8",16.7723770141602,"0008_1_7","0008_1_7 6"
"ee",20.4896087646484,"0008_1_7","0008_1_7 7"
"Tee",34.6851806640625,"0008_1_7","0008_1_7 8"
"He",21.5419921875,"0008_1_7","0008_1_7 9"
"Tee",13.613395690918,"0008_1_7","0008_1_7 10"
"ee",17.1862106323242,"0008_1_7","0008_1_7 11"
"Tie",33.5031204223633,"0008_1_7","0008_1_7 12"
"Cee",20.1993637084961,"0008_1_7","0008_1_7 13"
"te",12.9515838623047,"0008_1_7","0008_1_7 14"
"eet",28.554328918457,"0008_1_7","0008_1_7 15"
"eee",20.9528427124023,"0008_1_7","0008_1_7 16"
"Le",16.6230392456055,"0008_1_7","0008_1_7 17"
"ne",12.5841598510742,"0008_1_7","0008_1_7 18"
"ee",27.8569869995117,"0008_1_7","0008_1_7 19"
"|",57.2122268676758,"0008_1_8","0008_1_8 1"
"CHATEAU",76.5767822265625,"0008_1_8","0008_1_8 2"
"PALMER",92.3417129516602,"0008_1_8","0008_1_8 3"
"(MArgomxX)",38.7035026550293,"0008_1_8","0008_1_8 4"
"...c....coucadhmiit",0,"0008_1_8","0008_1_8 5"
"oii",0,"0008_1_8","0008_1_8 6"
"ines:",27.585205078125,"0008_1_8","0008_1_8 7"
"ABS",83.1257934570312,"0008_1_8","0008_1_8 8"
"CHATEAU",93.2993469238281,"0008_1_9","0008_1_9 1"
"LATOUR-A-POMEROL",87.0202102661133,"0008_1_9","0008_1_9 2"
"(Pomerol)",91.206787109375,"0008_1_9","0008_1_9 3"
"CHATEAU",93.2990646362305,"0008_1_10","0008_1_10 1"
