"price_raw","confidence","type_new","price_new","cluster","table","row","column","entry_id","name_id","text.true","truth_entered_by","col.header","text","text_raw","name","id","file_id","country","year","color","variety","region","province","designation"
"39.75",87.3699493408203,TRUE,"39.75",1,1,1,1,"0008_1_1","0008_1_1","39.75","David","Case","CHATEAU LEOVILLE LASCASES o oo CZ ann vrs ervey TA ATI AIS TY IR dle Ni rawrz Yam il nied YY et Ce Ra eA i AE","CHATEAU LEOVILLE LASCASES (St. Julien) o.oo CZ ann vrs ervey TA ATI AIS TY IR dle Ni rawrz Yam il nied YY et Ce Ra eA i AE","CHATEAU LEOVILLE LASCASES (St. Julien) o.oo CZ ann vrs ervey TA ATI AIS TY IR dle Ni rawrz Yam il nied YY et Ce Ra eA i AE","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Julien"")","NULL","NULL"
"39.75",76.4733276367188,TRUE,"39.75",1,1,2,1,"0008_1_2","0008_1_2","39.75","David","Case","CHATEAU LYNCH BAGES","CHATEAU LYNCH BAGES (Paulllaec) ..... ...... 0 00... on AZD","CHATEAU LYNCH BAGES (Paulllaec)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"40.75",94.9444351196289,TRUE,"40.75",1,1,3,1,"0008_1_3","0008_1_3","40.75","David","Case","CHATEAU PICHON LONGUEVILLE LALANDE","CHATEAU PICHON LONGUEVILLE LALANDE (Paunillne) .......... .... . A320","CHATEAU PICHON LONGUEVILLE LALANDE (Paunillne)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"43.25",87.7642669677734,TRUE,"43.25",1,1,4,1,"0008_1_4","0008_1_4","43.25","David","Case","CHATEAU BEYCHEVELLE 18t Jullien)","CHATEAU BEYCHEVELLE 18t, Jullien). .... ... cei. 0. 0 7 Aon","CHATEAU BEYCHEVELLE 18t, Jullien)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"43.25",94.1359786987305,TRUE,"43.25",1,1,5,1,"0008_1_5","0008_1_5","43.25","David","Case","CHATEAU COS D'ESTOURNEL","CHATEAU COS D'ESTOURNEL (St. Estephe) ............. ........ = A330","CHATEAU COS D'ESTOURNEL (St. Estephe)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Estephe"")","NULL","NULL"
"43.25",95.4680862426758,TRUE,"43.25",1,1,6,1,"0008_1_6","0008_1_6","43.25","David","Case","CHATEAU LASCOMBES",": CHATEAU LASCOMBES (Margaux) .... 5 coli anti AB)","CHATEAU LASCOMBES (Margaux)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Margaux"")","NULL","NULL"
"44.75",83.9731903076172,TRUE,"44.75",1,1,7,1,"0008_1_7","0008_1_7","44.75","David","Case","CHATEAU CLOS FOURTET 8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","CHATEAU CLOS FOURTET (St. Emilion) 8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","CHATEAU CLOS FOURTET (St. Emilion) 8 ee Tee He Tee ee Tie Cee te eet eee Le ne ee","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"47.78",82.2284164428711,TRUE,"47.78",1,1,8,1,"0008_1_8","0008_1_8","47.75","David","Case","| CHATEAU PALMER","| CHATEAU PALMER (MArgomxX) ...c....coucadhmiit oii ines: ABS","| CHATEAU PALMER (MArgomxX)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"48.50",96.3259887695312,TRUE,"48.50",1,1,9,1,"0008_1_9","0008_1_9","48.50","David","Case","CHATEAU LATOUR A POMEROL","CHATEAU LATOUR-A-POMEROL (Pomerol)","CHATEAU LATOUR-A-POMEROL (Pomerol)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Pomerol"")","NULL","NULL"
"55,75",78.3967132568359,TRUE,"55.75",1,1,10,1,"0008_1_10","0008_1_10","55.75","David","Case","CHATEAU LATOUR HAUT BRION BIT eT AL IS Se Te ae","CHATEAU LATOUR HAUT BRION (Graves) BIT eT AL IS Se Te ae","CHATEAU LATOUR HAUT BRION (Graves) BIT eT AL IS Se Te ae","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Graves"")","NULL","NULL"
