"","Designation"
"1","'61 Rose"
"2","'A Rina"
"3","'Blend 105' Red Wine"
"4","'l Clumbe"
"5","'Na Vota"
"6","'Rough Justice' Red"
"7","'Unfiltered'"
"8","'Vie '"
"9","0 618"
"10","0 Degree Dry"
"11","0 Degrees of Riesling Dry"
"12","0.5 Brix"
"13","006 Riverside Estate"
"14","075 Carati"
"15","075 Carati Brut"
"16","075 Carati Extra Dry"
"17","075 Carati Rose Cuvee Dry"
"18","1 618"
"19","1 Degree of Riesling Medium Dry"
"20","10 Anni Riserva"
"21","10 Anos"
"22","10 Anos Edicion Limitada"
"23","10 Anos Old Tawny"
"24","10 Anos Tawny"
"25","10 Anos White"
"26","10 Eiswein"
"27","10 Mile Bridge"
"28","10 Vine Age Series"
"29","10 Year Old Aged Tawny"
"30","10 Year Old Tawny"
"31","10 Year Tawny"
"32","10 Years Old"
"33","10 Years Old Aged Tawny"
"34","10 years old Tawny"
"35","10 Years Old Tawny"
"36","10 Years Old Tawny Unreported"
"37","10 Years Old White"
"38","10 Years Tawny"
"39","100 Abades"
"40","100 Anos Vinas Mendoza"
"41","100 Hills Dry"
"42","100 Musque Clone"
"43","100 Series"
"44","100 Skin Fermented"
"45","1000 Eimerberg Smaragd"
"46","1000 Vines"
"47","10RF Oloroso Medium Sherry"
"48","11 12 13 Maldito"
"49","11 Pinos Old Vines"
"50","1149 Rose of"
"51","115 667"
"52","12 Clones"
"53","12 Crianza"
"54","12 e Mezzo"
"55","12 Meses"
"56","12 Meses Barrica Vinedos Propios Crianza"
"57","12 O'Clock High"
"58","12 O'Clock High Estate"
"59","120 Reserva Especial"
"60","120 Reserva Especial Hero's"
"61","1234 Reserva"
"62","125th Anniversary History"
"63","130 Brut"
"64","1300 Malbec"
"65","14 Meses en Barrica"
"66","14 Months Barrel Aged Kosher"
"67","14 Vines"
"68","1423 Reserva"
"69","1479N Ruber"
"70","1492 White"
"71","15 Anos Reserva"
"72","15 Reserva"
"73","15 Year Old Tawny Dessert Wine"
"74","150 Anniversario"
"75","15th Anniversary Ottimo Red Wine"
"76","16 Crianza"
"77","16 Crows Cuvee"
"78","16 Marzo"
"79","16 Months Barrel Aged Kosher"
"80","16 Rows"
"81","1607 Extra Dry"
"82","1637 Seleccion Especial Brut Rosado"
"83","1685 Grande Cuvee"
"84","16th Street Bridge"
"85","1753 Syrah Vermentino"
"86","1772 Edna Ranch"
"87","1772 Pacific Wind"
"88","1780 Royal Heritage"
"89","18 Barrel Estate Grown"
"90","18 Meses"
"91","180 Degrees"
"92","181 Merlot"
"93","1815 Rosso"
"94","1844 Reserve"
"95","1850 Degrees"
"96","1850 Old Vine"
"97","1861 Vineyard"
"98","1865 Limited Edition"
"99","1865 Single Vineyard"
"100","1866 Reserve"
"101","1868 Dry"
"102","1887 Brut"
"103","1887 Rosado"
"104","1888 Riserva"
"105","19 Block Mountain Cuvee"
"106","19 Phantom Limb Belmont Vineyard"
"107","1904 Cuvee Speciale Brut"
"108","1904 Spatlese"
"109","1908 Brignole Vineyard Old Vine"
"110","1910 Block"
"111","1910 Block Estate Grown"
"112","1912 Vines"
"113","1919 Brut Seleccio"
"114","1924 Limited Edition Double Black"
"115","1927 Vines"
"116","1930 Una Buona Annata"
"117","1935 Vieilles Vignes"
"118","1955 Extra Dry"
"119","1955 Vineyard Estate Grown"
"120","1973 Block Red Willow Vineyard"
"121","19th Meeting Single Vineyard Basket Pressed"
"122","1RDRS4"
"123","1st Cru d'Exception"
"124","1st Degree"
"125","1st Degree Medium Dry"
"126","2 2 1"
"127","2 Dijon Clones"
"128","2 Duas Castas"
"129","2 Duas Castas Gouveio Verdelho"
"130","2 Finques Vi de Guarda Carinyena"
"131","2 Jakes"
"132","2 Jakes Red Blend"
"133","2 Spires"
"134","2 Spires Red"
"135","2 Tintos Petit Verdot Alicante Bouschet"
"136","2 Worlds"
"137","2 Worlds Premium Tinto"
"138","2 Worlds Reserva Tinto"
"139","2.3 Lafond Vineyard"
"140","20 20"
"141","20 Anos Tawny"
"142","20 Barrels"
"143","20 Barrels Limited Edition"
"144","20 Barrels Limited Edition Peralillo Estate"
"145","20 Months Barrel Aged Reserve"
"146","20 Year Old Tawny"
"147","20 Year Old White"
"148","20 Years in the Shed with Bob at Bien Nacido"
"149","20 Years Old Tawny"
"150","20 Years Old White"
"151","20 Years Tawny"
"152","20 yr. Baco Imperial Amontillado"
"153","200 Cestos"
"154","200 Monges Reserva"
"155","200 Monges Seleccion Especial Reserva"
"156","2003 by Bollinger Brut"
"157","20th Anniversary"
"158","20th Anniversary Limited Edition 1 6600"
"159","20th Anniversary Reserve"
"160","21 12"
"161","21 Barriques"
"162","21 Gables"
"163","22 Black"
"164","2221 Terroir de Cantanhede"
"165","24 Meses en Barrica"
"166","24.4 Brix"
"167","24K Vineyard"
"168","25 Anni"
"169","25 Barricas"
"170","25th Anniversary"
"171","25th Anniversary J Cuvee"
"172","25th Anniversary Reserve"
"173","25th Vintage Rubino Super Tuscan Style Blend"
"174","26esimo I Brut"
"175","26th Anniversary"
"176","2A Rio Vista Vineyard"
"177","2nd Degree"
"178","2nd Degree Medium Sweet"
"179","2V Premium"
"180","3 Bastards"
"181","3 Brooms"
"182","3 Carati"
"183","3 Castas"
"184","3 Castas Nature"
"185","3 Castas Nature Rose"
"186","3 Clone"
"187","3 Clones"
"188","3 Crianzas"
"189","3 D Sparkling"
"190","3 de Valandraud"
"191","3 Degrees of Riesling Sweet"
"192","3 Dijon Clones"
"193","3 Divas"
"194","3 Generaciones"
"195","3 Generations"
"196","3 Graces Blanc"
"197","3 Horse Ranch Vineyard"
"198","3 Macabeus"
"199","3 Meses en Barrica"
"200","3 Naissances Terrasses du Larzac"
"201","3 Puttonyos Aszu"
"202","3 Rose"
"203","3 Sisters & A Brother"
"204","3 Utin"
"205","3 Vineyard"
"206","3&4 Max Cuvee"
"207","30 Anos Tawny"
"208","30 Anos White"
"209","30 Barricas Edicion Limitada"
"210","30 Year Old White"
"211","30 Years Old Tawny"
"212","30 Years Old White"
"213","30 Years Tawny"
"214","30 Years White"
"215","30 Yr. Old Baco Imperial Oloroso"
"216","30th Anniversary Cuvee Burt Williams' Morning Dew Ranch"
"217","30th Anniversary Cuvee Estate Vineyard"
"218","314 Rose Clone Select"
"219","325 Anniversary"
"220","33 de Davalos"
"221","33 Degrees North BDX Gracie Hill Vineyard"
"222","33 Degrees North Gracie Hill Vineyard"
"223","33 Degrees North Gracie Hill Vineyard BDX"
"224","33 Degrees North Gracie Hill Vineyard Dalla Collina"
"225","3400 Premium"
"226","347 Vineyards"
"227","347 Vineyards Reserva"
"228","35 South Land of Passion and Fantasy"
"229","35 South Reserva"
"230","35th Anniversary"
"231","35th Anniversary Reserve Mailbox Vineyard"
"232","365 Prosecco"
"233","36m Metodo Classico"
"234","37.2 Cuvee"
"235","375ml"
"236","39 Barricas"
"237","3B Brut Nature Rose"
"238","3D Sparkling"
"239","3rd Degree Late Harvest Sweet"
"240","3rd Degree Sweet"
"241","3rd Generation"
"242","4 2 A"
"243","4 Boys Les Collines Vineyard"
"244","4 Cepages"
"245","4 Dijon Clones"
"246","4 Elements"
"247","4 Grape Blend"
"248","4 Quatro Castas"
"249","4 Reserva"
"250","4 Vigne"
"251","40 Year Old White"
"252","40 Years"
"253","40 years Old Tawny"
"254","40 Years Old Tawny"
