"","Province","Country"
"1","Achaia","Greece                                                                                                                                                "
"2","Aconcagua Costa","Chile                                                                                                                                                 "
"3","Aconcagua Valley","Chile                                                                                                                                                 "
"4","Aegean","Turkey                                                                                                                                                "
"5","Agioritikos","Greece                                                                                                                                                "
"6","Alenquer","Portugal                                                                                                                                              "
"7","Alentejano","Portugal                                                                                                                                              "
"8","Alentejo","Portugal                                                                                                                                              "
"9","Alenteo","Portugal                                                                                                                                              "
"10","Algarve","Portugal                                                                                                                                              "
"11","Alsace","France                                                                                                                                                "
"12","America","US                                                                                                                                                    "
"13","Amindeo","Greece                                                                                                                                                "
"14","Amyndeon","Greece                                                                                                                                                "
"15","Andalucia","Spain                                                                                                                                                 "
"16","Ankara","Turkey                                                                                                                                                "
"17","Apalta","Chile                                                                                                                                                 "
"18","Arcadia","Greece                                                                                                                                                "
"19","Arizona","US                                                                                                                                                    "
"20","Atalanti Valley","Greece                                                                                                                                                "
"21","Atlantida","Uruguay                                                                                                                                               "
"22","Attica","Greece                                                                                                                                                "
"23","Australia Other","Australia                                                                                                                                             "
"24","Awatere Valley","New Zealand                                                                                                                                           "
"25","Baden","Germany                                                                                                                                               "
"26","Bairrada","Portugal                                                                                                                                              "
"27","Beaujolais","France                                                                                                                                                "
"28","Beira Atlantico","Portugal                                                                                                                                              "
"29","Beira Interior","Portugal                                                                                                                                              "
"30","Beiras","Portugal                                                                                                                                              "
"31","Bekaa Valley","Lebanon                                                                                                                                               "
"32","Beotia","Greece                                                                                                                                                "
"33","Bio Bio Valley","Chile                                                                                                                                                 "
"34","Black Sea Coastal","Bulgaria                                                                                                                                              "
"35","Bordeaux","France                                                                                                                                                "
"36","Bot River","South Africa                                                                                                                                          "
"37","Breede River Valley","South Africa                                                                                                                                          "
"38","Breedekloof","South Africa                                                                                                                                          "
"39","British Columbia","Canada                                                                                                                                                "
"40","Bucelas","Portugal                                                                                                                                              "
"41","Burgenland","Austria                                                                                                                                               "
"42","Burgundy","France                                                                                                                                                "
"43","Cachapoal Valley","Chile                                                                                                                                                 "
"44","Cahul","Moldova                                                                                                                                               "
"45","California","US                                                                                                                                                    "
"46","Campanha","Brazil                                                                                                                                                "
"47","Canada Other","Canada                                                                                                                                                "
"48","Canelones","Uruguay                                                                                                                                               "
"49","Canterbury","New Zealand                                                                                                                                           "
"50","Cape Agulhas","South Africa                                                                                                                                          "
"51","Cape Peninsula","South Africa                                                                                                                                          "
"52","Cape South Coast","South Africa                                                                                                                                          "
"53","Cappadocia","Turkey                                                                                                                                                "
"54","Carnuntum","Austria                                                                                                                                               "
"55","Casablanca & Leyda Valleys","Chile                                                                                                                                                 "
