"","Region","Country"
"1","Abruzzo","Italy                                                                                                                                                 "
"2","Adelaida District","US                                                                                                                                                    "
"3","Adelaide","Australia                                                                                                                                             "
"4","Adelaide Hills","Australia                                                                                                                                             "
"5","Adelaide Plains","Australia                                                                                                                                             "
"6","Aglianico del Beneventano","Italy                                                                                                                                                 "
"7","Aglianico del Taburno","Italy                                                                                                                                                 "
"8","Aglianico del Vulture","Italy                                                                                                                                                 "
"9","Aglianico d'Irpinia","Italy                                                                                                                                                 "
"10","Agrelo","Argentina                                                                                                                                             "
"11","Albana di Romagna","Italy                                                                                                                                                 "
"12","Alcamo","Italy                                                                                                                                                 "
"13","Aleatico dell'Elba","Italy                                                                                                                                                 "
"14","Alella","Spain                                                                                                                                                 "
"15","Alexander Valley","US                                                                                                                                                    "
"16","Alghero","Italy                                                                                                                                                 "
"17","Alicante","Spain                                                                                                                                                 "
"18","Almansa","Spain                                                                                                                                                 "
"19","Aloxe Corton","France                                                                                                                                                "
"20","Alpilles","France                                                                                                                                                "
"21","Alpine Valleys","Australia                                                                                                                                             "
"22","Alta Langa","Italy                                                                                                                                                 "
"23","Alta Mesa","US                                                                                                                                                    "
"24","Alta Valle della Greve","Italy                                                                                                                                                 "
"25","Alto Adige","Italy                                                                                                                                                 "
"26","Alto Adige Terlano","Italy                                                                                                                                                 "
"27","Alto Adige Valle Isarco","Italy                                                                                                                                                 "
"28","Alto Valle del Rio Negro","Argentina                                                                                                                                             "
"29","Altos de Mendoza","Argentina                                                                                                                                             "
"30","Amador County","US                                                                                                                                                    "
"31","Amador Napa","US                                                                                                                                                    "
"32","Amarone della Valpolicella","Italy                                                                                                                                                 "
"33","Amarone della Valpolicella Classico","Italy                                                                                                                                                 "
"34","Amarone della Valpolicella Valpantena","Italy                                                                                                                                                 "
"35","Ancient Lakes","US                                                                                                                                                    "
"36","Anderson Valley","US                                                                                                                                                    "
"37","Anjou","France                                                                                                                                                "
"38","Anjou Villages","France                                                                                                                                                "
"39","Anjou Villages Brissac","France                                                                                                                                                "
"40","Antelope Valley of the California High Desert","US                                                                                                                                                    "
"41","Applegate Valley","US                                                                                                                                                    "
"42","Apremont","France                                                                                                                                                "
"43","Arbois","France                                                                                                                                                "
"44","Ardeche","France                                                                                                                                                "
"45","Arribes del Duero","Spain                                                                                                                                                 "
"46","Arroyo Grande Valley","US                                                                                                                                                    "
"47","Arroyo Seco","US                                                                                                                                                    "
"48","Asolo Prosecco Superiore","Italy                                                                                                                                                 "
"49","Asprinio di Aversa","Italy                                                                                                                                                 "
"50","Assisi","Italy                                                                                                                                                 "
"51","Atlantique","France                                                                                                                                                "
"52","Atlas Peak","US                                                                                                                                                    "
"53","Aude Hauterive","France                                                                                                                                                "
"54","Augusta","US                                                                                                                                                    "
"55","Australia New Zealand","Australia                                                                                                                                             "
"56","Auxey Duresses","France                                                                                                                                                "
"57","Ballard Canyon","US                                                                                                                                                    "
"58","Bandol","France                                                                                                                                                "
"59","Banyuls","France                                                                                                                                                "
"60","Barbaresco","Italy                                                                                                                                                 "
"61","Barbera d'Alba","Italy                                                                                                                                                 "
"62","Barbera d'Alba Superiore","Italy                                                                                                                                                 "
"63","Barbera d'Asti","Italy                                                                                                                                                 "
"64","Barbera d'Asti Superiore","Italy                                                                                                                                                 "
"65","Barbera d'Asti Superiore Nizza","Italy                                                                                                                                                 "
"66","Barbera del Monferrato","Italy                                                                                                                                                 "
"67","Barbera del Monferrato Superiore","Italy                                                                                                                                                 "
"68","Barbera di Piemonte","Italy                                                                                                                                                 "
"69","Barco Reale di Carmignano","Italy                                                                                                                                                 "
"70","Bardolino","Italy                                                                                                                                                 "
"71","Bardolino Chiaretto","Italy                                                                                                                                                 "
"72","Bardolino Classico","Italy                                                                                                                                                 "
"73","Bardolino Classico Superiore","Italy                                                                                                                                                 "
"74","Bardolino Superiore","Italy                                                                                                                                                 "
"75","Barolo","Italy                                                                                                                                                 "
"76","Barossa","Australia                                                                                                                                             "
"77","Barossa Adelaide Hills","Australia                                                                                                                                             "
"78","Barossa Langhorne Creek","Australia                                                                                                                                             "
"79","Barossa Valley","Australia                                                                                                                                             "
"80","Barsac","France                                                                                                                                                "
"81","Basilicata","Italy                                                                                                                                                 "
"82","Batard Montrachet","France                                                                                                                                                "
"83","Beamsville Bench","Canada                                                                                                                                                "
"84","Bearn","France                                                                                                                                                "
"85","Beaujolais Blanc","France                                                                                                                                                "
"86","Beaujolais Leynes","France                                                                                                                                                "
"87","Beaujolais Rose","France                                                                                                                                                "
"88","Beaujolais Villages","France                                                                                                                                                "
"89","Beaune","France                                                                                                                                                "
"90","Beechworth","Australia                                                                                                                                             "
"91","Ben Lomond Mountain","US                                                                                                                                                    "
"92","Benaco Bresciano","Italy                                                                                                                                                 "
"93","Bendigo","Australia                                                                                                                                             "
"94","Beneventano","Italy                                                                                                                                                 "
"95","Bennett Valley","US                                                                                                                                                    "
"96","Bergerac","France                                                                                                                                                "
"97","Bergerac Rose","France                                                                                                                                                "
"98","Bergerac Sec","France                                                                                                                                                "
"99","Bianco di Custoza","Italy                                                                                                                                                 "
"100","Bienvenues Batard Montrachet","France                                                                                                                                                "
"101","Bierzo","Spain                                                                                                                                                 "
"102","Biferno Rosso","Italy                                                                                                                                                 "
"103","Big Valley District Lake County","US                                                                                                                                                    "
"104","Bizkaiko Txakolina","Spain                                                                                                                                                 "
"105","Blanquette de Limoux","France                                                                                                                                                "
"106","Blaye Cotes de Bordeaux","France                                                                                                                                                "
"107","Bolgheri","Italy                                                                                                                                                 "
"108","Bolgheri Sassicaia","Italy                                                                                                                                                 "
"109","Bolgheri Superiore","Italy                                                                                                                                                 "
"110","Bonnes Mares","France                                                                                                                                                "
"111","Bonnezeaux","France                                                                                                                                                "
"112","Bordeaux Blanc","France                                                                                                                                                "
"113","Bordeaux Clairet","France                                                                                                                                                "
"114","Bordeaux Cotes de Francs","France                                                                                                                                                "
"115","Bordeaux Rose","France                                                                                                                                                "
"116","Bordeaux Superieur","France                                                                                                                                                "
"117","Bourgogne","France                                                                                                                                                "
"118","Bourgogne Aligote","France                                                                                                                                                "
"119","Bourgogne Cotes d'Auxerre","France                                                                                                                                                "
"120","Bourgogne Epineuil","France                                                                                                                                                "
"121","Bourgogne Gamay","France                                                                                                                                                "
"122","Bourgogne Hautes Cotes de Beaune","France                                                                                                                                                "
"123","Bourgogne Hautes Cotes de Nuits","France                                                                                                                                                "
"124","Bourgogne Vezelay","France                                                                                                                                                "
"125","Bourgueil","France                                                                                                                                                "
"126","Brachetto d'Acqui","Italy                                                                                                                                                 "
"127","Bramaterra","Italy                                                                                                                                                 "
"128","Breganze","Italy                                                                                                                                                 "
"129","Brindisi","Italy                                                                                                                                                 "
"130","Brouilly","France                                                                                                                                                "
"131","Brulhois","France                                                                                                                                                "
"132","Brunello di Montalcino","Italy                                                                                                                                                 "
"133","Buenos Aires","Argentina                                                                                                                                             "
"134","Bullas","Spain                                                                                                                                                 "
"135","Buzet","France                                                                                                                                                "
"136","Cabardes","France                                                                                                                                                "
"137","Cabernet d'Anjou","France                                                                                                                                                "
"138","Cabernet de Saumur","France                                                                                                                                                "
"139","Cacc'e Mmitte di Lucera","Italy                                                                                                                                                 "
"140","Cadillac","France                                                                                                                                                "
"141","Cadillac Cotes de Bordeaux","France                                                                                                                                                "
"142","Cafayate","Argentina                                                                                                                                             "
"143","Cahors","France                                                                                                                                                "
"144","Calabria","Italy                                                                                                                                                 "
"145","Calatayud","Spain                                                                                                                                                 "
"146","Calaveras County","US                                                                                                                                                    "
"147","Calchaqui Valley","Argentina                                                                                                                                             "
"148","California Oregon","US                                                                                                                                                    "
"149","California Other","US                                                                                                                                                    "
"150","Calistoga","US                                                                                                                                                    "
