"","Variety"
"1","Abouriou"
"2","Agiorgitiko"
"3","Aglianico"
"4","Aidani"
"5","Airen"
"6","Albana"
"7","Albanello"
"8","Albarino"
"9","Albarossa"
"10","Aleatico"
"11","Alfrocheiro"
"12","Alicante Bouschet"
"13","Aligote"
"14","Alsace white blend"
"15","Altesse"
"16","Alvarelhao"
"17","Alvarinho"
"18","Alvarinho Chardonnay"
"19","Ansonica"
"20","Antao Vaz"
"21","Apple"
"22","Aragones"
"23","Aragonez"
"24","Argaman"
"25","Arinto"
"26","Arneis"
"27","Asprinio"
"28","Assyrtico"
"29","Assyrtiko"
"30","Athiri"
"31","Austrian Red Blend"
"32","Austrian white blend"
"33","Auxerrois"
"34","Avesso"
"35","Babic"
"36","Babosa Negro"
"37","Bacchus"
"38","Baco Noir"
"39","Baga Touriga Nacional"
"40","Barbera"
"41","Barbera Nebbiolo"
"42","Bastardo"
"43","Biancale"
"44","Biancolella"
"45","Biancu Gentile"
"46","Bical"
"47","Black Monukka"
"48","Black Muscat"
"49","Blanc du Bois"
"50","Blatina"
"51","Blauburger"
"52","Blauburgunder"
"53","Blauer Portugieser"
"54","Blaufrankisch"
"55","Bobal"
"56","Bobal Cabernet Sauvignon"
"57","Bogazkere"
"58","Bombino Bianco"
"59","Bombino Nero"
"60","Bonarda"
"61","Bordeaux style Red Blend"
"62","Bordeaux style White Blend"
"63","Brachetto"
"64","Braucol"
"65","Cabernet"
"66","Cabernet Blend"
"67","Cabernet Franc"
"68","Cabernet Franc Cabernet Sauvignon"
"69","Cabernet Franc Carmenere"
"70","Cabernet Franc Lemberger"
"71","Cabernet Franc Malbec"
"72","Cabernet Franc Merlot"
"73","Cabernet Malbec"
"74","Cabernet Merlot"
"75","Cabernet Moravia"
"76","Cabernet Pfeffer"
"77","Cabernet Sauvignon"
"78","Cabernet Sauvignon Barbera"
"79","Cabernet Sauvignon Cabernet Franc"
"80","Cabernet Sauvignon Carmenere"
"81","Cabernet Sauvignon Grenache"
"82","Cabernet Sauvignon Malbec"
"83","Cabernet Sauvignon Merlot"
"84","Cabernet Sauvignon Merlot Shiraz"
"85","Cabernet Sauvignon Sangiovese"
"86","Cabernet Sauvignon Shiraz"
"87","Cabernet Sauvignon Syrah"
"88","Cabernet Sauvignon Tempranillo"
"89","Cabernet Shiraz"
"90","Cabernet Syrah"
"91","Calkarasi"
"92","Canaiolo"
"93","Cannonau"
"94","Caprettone"
"95","Carcajolu"
"96","Carignan"
"97","Carignan Grenache"
"98","Carignan Syrah"
"99","Carignane"
"100","Carignano"
"101","Carinena Garnacha"
"102","Carmenere"
"103","Carmenere Cabernet Sauvignon"
"104","Carmenere Syrah"
"105","Carricante"
"106","Casavecchia"
"107","Castelao"
"108","Catalanesca"
"109","Catarratto"
"110","Cayuga"
"111","Centesimino"
"112","Cerceal"
"113","Cercial"
"114","Cesanese"
"115","Cesanese d'Affile"
"116","Chambourcin"
"117","Champagne Blend"
"118","Chancellor"
"119","Charbono"
"120","Chardonel"
"121","Chardonnay"
"122","Chardonnay Albarino"
"123","Chardonnay Pinot Blanc"
"124","Chardonnay Pinot Gris"
"125","Chardonnay Riesling"
"126","Chardonnay Sauvignon"
"127","Chardonnay Sauvignon Blanc"
"128","Chardonnay Semillon"
"129","Chardonnay Viognier"
"130","Chardonnay Weissburgunder"
"131","Chasselas"
"132","Chelois"
"133","Chenin Blanc"
