cover_image,catalog_id,page_id,title,file_count,pages,year,note
UCD_Lehmann_0002.dng,affdd39b-2e6b-4f1a-b605-6dcdd522842d,e738e52e-33dd-4f52-a1be-ac2ef49391c6,Yuletide Vintage of Values 1968 -1969,40,40,1959,
UCD_Lehmann_0043.dng,91a93903-ac6b-4757-9d6a-c2711d2d501e,e6c0c8f8-24bf-408f-ae4e-3b8f055e0512,Annual Summer Sale 1959,28,28,1959,
UCD_Lehmann_0072.dng,7eac7823-6c46-4ed3-bf94-643cc30cece9,6fd65539-366e-43de-ac23-30de1aeaf40b,depuis 1822 Nicolas,22,,,
UCD_Lehmann_0095.dng,0b3a901f-6922-4575-b9b8-261c1a3cd241,f5056730-a835-4cd9-92af-ede7c1b94bac,Christmas Dinner by James Beard,12,,,
UCD_Lehmann_0108.dng,592cec2e-0fcf-43f3-bebf-e1446c19e791,3b53ec34-64ba-4b24-b7aa-751d8a739912,House Beautiful Madeira,4,4,,
UCD_Lehmann_0112.dng,96e9da45-b7ee-453d-998e-96f223f9e34e,ac5f4cc3-1422-4e11-b94c-3df51ff58b25,Plain Facts Liquor and Wine Prices.New York State Nov 1966,4,,,
UCD_Lehmann_0116.dng,513a103b-397e-4ea2-af26-7d1ebfa827d6,6648319d-8bc2-4d37-b3b2-54659059304d,Fall Sale 1959,100,,,
UCD_Lehmann_0149.dng,b230cb26-4f3a-42a6-bfa4-1fd11d8bdf20,d6aa20ca-3ab7-4482-a39d-0c3e4a474265,Season's Greetings from Sherry Wine & Spirits Co 1959,36,,,
UCD_Lehmann_0186.dng,4392186a-4f6d-4980-a6c2-dd17b4536638,e27f773f-1586-4201-b96a-6e980521e67d,Seasons Greetings 1958,88,,,
UCD_Lehmann_0231.dng,7724f481-b963-43f6-b115-20ad75313f24,4aa4fe0b-929e-4045-8845-d605f4748409,Greatest Pre-Summer Sale 1961,24,24,1961,
UCD_Lehmann_0256.dng,a3c3c8d3-b651-4449-99da-46b3f0df63e0,09e32d04-a88d-4c0d-aa6b-ac5179f37fcb,Spring and Summer Sale 1958,8,8,1958,
UCD_Lehmann_0265.dng,a60bb267-fe06-4fae-81db-4da9518b95ab,4ff05bf6-2f92-4f5c-b20f-c6fa6ef74790,Wine and Spirits List 1960,17,,,
UCD_Lehmann_0282.dng,665db252-f7f4-4d28-9528-87ed063fba59,1230f5b5-eca8-4bba-9b8b-81c69f737288,WIne List 1968,17,17,1968,
UCD_Lehmann_0299.dng,b2408313-b588-413d-9fef-af19268eb53b,6cf45b87-a586-480a-a247-6e28eca958bd,Your Own New Year's Party,8,,,
UCD_Lehmann_0308.dng,43255d9f-c4ba-40bd-809d-db1b68a2146f,64515e64-a9b7-4b79-bd84-3e1163a7935f,Wine List 1960's,11,,,
UCD_Lehmann_0319.dng,82aa62f4-e1b5-4be7-a1f6-660773ae6e7f,78b0c41d-b2b4-4328-bdba-027520e8f9df,The Wines of Nicolas are here 1967,1,,,
UCD_Lehmann_0320.dng,402f0c27-9172-45f9-85bf-40db27289a86,b4ae73fa-0bc0-4a44-b694-0d10dbc8cba4,The Basic 6 Case Cellar NY Times 1971 Craig Claiborne,4,4,1971,
UCD_Lehmann_0324.dng,ab9a6834-8e0e-43c8-b21c-de87761c357b,970bd7db-b2c8-417e-b42e-14a5a5475fc0,Report. Present Wine Situation 1962,5,,,
UCD_Lehmann_0329.dng,c130c26a-c60d-4ad8-a780-4d766f04c4a6,8bd7e584-178c-42d4-ae9f-35e9a3bdc191,Advance Offering 1964,5,5,1964,
UCD_Lehmann_0334.dng,d8ce3075-9cce-43c2-86b6-62e4548187d8,b28090be-c215-4b03-9ff5-bf5a8550c5ff,Great Mid Winter Sale 1960's,24,,,
UCD_Lehmann_0358.dng,fafc735c-90b4-4080-8320-139d74413cb5,df4178ef-90d3-49a3-a00c-d9d092171200,Vintage Chart Including 1957,17,17,1957,
UCD_Lehmann_0376.dng,368c3a80-1b69-4a3a-8dc7-83f25d6204df,8c3647b5-08f5-4fc7-8d50-80fbb2e26533,Annual Sale 1976,,24,1976,
UCD_Lehmann_0401.dng,b3eeb224-7cfe-497d-b876-11a8967d5930,467c1781-a7fa-4c6a-bdc6-846028886a9b,Our Annual Money-saving Sale 1974,,16,1974,
