catalog_id,ark,title,publisher,year,editable,completed,created_at,updated_at
00dd420b-02ee-4ead-aa01-c939f189542f,,Annual Sale 1974,Sherry-Lehmann Inc.,1974,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
6a05ddd4-06d9-49f1-8acc-936eb7c01da9,ark:/87287/d7k885,Christmas 1952,"M. Lehmann, Inc.",1952,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
04226d20-d805-43f7-be80-b2e241b0286a,ark:/87287/d7dw2j,Spring Summer Sale 1976,Sherry-Lehmann Inc.,1976,t,f,2017-05-30 07:29:57,2017-05-30 07:29:57
04dd3dfd-a6ca-43fb-a24d-e152d85ab0cf,ark:/87287/d71s3g,Money Saving Values April 1965,Sherry-Lehmann Inc.,1965,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
051ef41d-faed-4acd-9393-8e22f99644c2,ark:/87287/d7zw2h,Epoch Making WIne News Summer 1969,Sherry-Lehmann Inc.,1969,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
069527fb-e3bb-454b-b20a-7645712e7c41,ark:/87287/d70k5v,Price Catgalog 1948,"Sherry Wine & Spirits Co.,Inc.",1948,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
072ebbf5-bd48-4f83-ad3e-35295a1cd950,ark:/87287/d7sp4n,Devaluation is Here ! 1948,"Sherry Wine & Spirits Co.,Inc.",1948,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
08d89f23-8663-4199-9e96-c1011e2b45b6,ark:/87287/d76k5q,Summer Sale 1973,Sherry-Lehmann Inc.,1973,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
09d97dfc-3cd7-451b-af68-83d8260719ea,ark:/87287/d7530p,Fall Values 1956,"Sherry Wine & Spirits Co.,Inc.",1956,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
0a48a692-951f-4c13-9f29-4436c1e6e21e,ark:/87287/d7g887,"Spring Summer Sale, Spr 1957","Sherry Wine & Spirits Co.,Inc.",1957,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
0b2720ab-558a-4a09-bb44-a1938da926c9,ark:/87287/d7xw26,Seasons Greetings 1971-1972,Sherry-Lehmann Inc.,1971,t,f,2017-05-30 07:29:57,2017-05-30 07:29:57
0b3a901f-6922-4575-b9b8-261c1a3cd241,ark:/87287/d79g60,Christmas Dinner by James Beard 1968,Sherry-Lehmann Inc.,1968,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
0b57ae83-c691-4d93-bd47-c18ec78949a1,ark:/87287/d7rw2n,Autumn Leaves from our Cellar Book 1959,"Sherry Wine & Spirits Co.,Inc.",1959,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
0c26d4c0-b398-43ea-abc3-0eef7aa0e918,ark:/87287/d75p42,Christmas Dinner 1967 in honor of James Beard,Sherry-Lehmann Inc.,1967,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
0e19adb8-e39c-4d9c-b09c-3a154c501847,ark:/87287/d78k5b,"Spring Summer Sale, June 1957","Sherry Wine & Spirits Co.,Inc.",1957,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
0effd55a-8da9-44ce-93c7-d56cb77103cd,ark:/87287/d7t59p,Report. The Great 1969 Red Burgundies,Sherry-Lehmann Inc.,1969,t,f,2017-05-30 07:29:57,2017-05-30 07:29:57
10d6084a-4b0d-4477-a865-14d1eb6c8870,ark:/87287/d7vp48,Fall Sale 1960,"Sherry Wine & Spirits Co.,Inc.",1960,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
10f01a27-d3bb-4ea7-8836-89905e1be6c6,ark:/87287/d7f88x,Charette of VIns du Pays 1949,"Sherry Wine & Spirits Co.,Inc.",1949,t,f,2017-05-30 07:29:57,2017-05-30 07:29:57
111721f3-4dac-48a8-9a6e-849b947cac10,ark:/87287/d7gk56,Spring Summer Sale 1954,"Sherry Wine & Spirits Co.,Inc.",1954,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
129a753e-d6fe-4b3f-a558-dac9e2bf6153,ark:/87287/d7q30n,18th Annual Sale 1951,"M. Lehmann, Inc.",1951,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
12a1707b-9aaa-420b-93f0-ddd2fd73e8f1,ark:/87287/d78g6p,Great Pre-Holiday Sale 1975,Sherry-Lehmann Inc.,1975,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
1340fba5-db0a-40b3-9e68-3298c4ec2430,ark:/87287/d7h88j,Mid-Summer Sale 1952,"Sherry Wine & Spirits Co.,Inc.",1952,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
16186136-8644-433c-8180-5cd8bd68f5d0,ark:/87287/d7t01x,Vintage Chart 1957,"Sherry Wine & Spirits Co.,Inc.",1957,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
1645154d-69bb-4257-bda3-7550dc857ecf,ark:/87287/d7588f,Seasons Greetings 1955,"Sherry Wine & Spirits Co.,Inc.",1955,t,f,2017-03-20 17:02:56,2017-03-20 17:02:56
16fe0f70-6d34-45ca-8008-4e56bf7c5e86,ark:/87287/d79591,Seasons Greetings 1967 (landscape),Sherry-Lehmann Inc.,1967,f,t,2017-05-30 07:29:57,2017-05-30 07:29:57
