mark_id,user_id,page_id,xy,type,wine_type,color,country,name,section,anonymous,vintage,bottle_type,perprice,caseprice,created,updated
acb36302-9b6c-4132-a880-134c94cdd06c,TKNXxHLRdBabmK0sVMjg2H5szIA2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{109,1066}",wine,Still,Red,France,Bollinger Brut,French Champaignes,t,0,Split,2.1,45.36,2017-04-10 14:38:51,2017-04-10 14:38:51
b7e509c8-bd33-4094-a611-15bddcf97792,google-oauth2|101609841353936434386,0a0a601c-d9c9-478d-bd67-05c76997629d,"{638,641}",wine,Still,Red,France,Chateau Beaumont,Red Bordeaux,f,1975,Standard,4.99,58.5,2017-06-27 16:32:08,2017-06-27 16:32:08
24598db1-b75d-41d3-ba8d-b21f60c64123,nTm3LmkdmXOzvX6vrVtGnvRQpOv2,79d3478f-8769-4e88-82d0-202eab87a94d,"{175,234}",wine,Sparkling,White,France,Louis Roederer Cristal,Champagnes for the Holidays,,1947,Standard,9,97.18,2017-04-03 19:52:57,2017-04-03 19:52:57
af393d1f-7a70-4bcc-b9ac-6a4a96247574,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{107,863}",wine,Sparkling,White,France,Charles Heidsieck Brut,French Champagn,t,0,Standard,6.6,71.29,2017-05-24 18:08:46,2017-05-24 18:08:46
c01ac287-e089-4a7c-bc89-e4a180ca8079,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{283,892}",wine,Still,White,France,Bollinger Brut,French Champagnes,t,1956,Magnum,18.49,99.85,2017-05-24 17:52:50,2017-05-24 17:52:50
b1e05820-ee77-44db-ad5e-4c41e45b216e,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{281,906}",wine,Sparkling,White,France,Bollinger Brut,French Champagne,,1956,Half Bottle,4.72,101.95,2017-05-24 17:51:58,2017-06-01 22:03:48
1977159e-1c77-4333-9f89-67039dd428c2,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{111,926}",wine,Sparkling,White,France,Bollinger Brut,French Champagnes,,1955,Standard,8.85,95.58,2017-05-24 17:51:04,2017-06-01 22:05:26
e42f39a4-2b66-4dc2-a38a-7426cecde952,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{279,938}",wine,Sparkling,White,France,Bollinger Brut,French Champagne,t,1953,Jeroboam,41.12,74.02,2017-05-24 17:43:20,2017-05-24 17:43:20
cd26ff48-56d4-4206-b472-de27c58e5bfd,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{114,970}",wine,Sparkling,White,France,Bollinger Brut,French Champagne,,1953,Magnum,19.89,107.41,2017-05-24 17:30:10,2017-06-01 23:34:02
5d876ac7-0bab-4388-929b-0aa34db8c4b3,EqMwLNF3EASx90cUfkFRrRuJN5V2,53d26bb7-8b10-47d6-89da-34883c0cc324,"{109,989}",wine,Sparkling,White,France,Bollinger Brut,French Champagne,,1952,Standard,9.54,103.03,2017-05-24 17:28:19,2017-06-01 23:34:23
